Оборотно-сальдовая ведомость по счету 10 за 2025 г.;;;;;;;
;;;;;;;
Счет;"Показа-
тели";Сальдо на начало периода;;Обороты за период;;Сальдо на конец периода;
;Кол.;513,750;;;512,500;1,250;
Масло сливочное;БУ;2 000,00;;39 160,00;41 138,00;22,00;
;Кол.;10,000;;178,000;187,900;0,100;
Обороты за Февраль 25;БУ;2 000,00;;26 400,00;;28 400,00;
;Кол.;10,000;;120,000;;130,000;
Обороты за Март 25;БУ;28 400,00;;;15 772,92;12 627,08;
;Кол.;130,000;;;72,200;57,800;
Обороты за Апрель 25;БУ;12 627,08;;;4 303,69;8 323,39;
;Кол.;57,800;;;19,700;38,100;
Обороты за Май 25;БУ;8 323,39;;1 760,00;9 842,79;240,60;
;Кол.;38,100;;8,000;45,000;1,100;
Обороты за Июнь 25;БУ;240,60;;11 000,00;5 719,29;5 521,31;
;Кол.;1,100;;50,000;26,000;25,100;
Обороты за Июль 25;БУ;5 521,31;;;5 499,31;22,00;
;Кол.;25,100;;;25,000;0,100;
Молоко сухое;БУ;46 621,97;;315 000,00;361 096,97;525,00;
;Кол.;311,250;;2 100,000;2 407,750;3,500;
Обороты за Январь 25;БУ;46 621,97;;;12 095,50;34 526,47;
;Кол.;311,250;;;80,750;230,500;
Обороты за Февраль 25;БУ;34 526,47;;15 000,00;;49 526,47;
;Кол.;230,500;;100,000;;330,500;
Обороты за Март 25;БУ;49 526,47;;51 000,00;99 252,09;1 274,38;
;Кол.;330,500;;340,000;662,000;8,500;
Обороты за Апрель 25;БУ;1 274,38;;45 375,00;22 499,70;24 149,68;
;Кол.;8,500;;302,500;150,000;161,000;
Обороты за Май 25;БУ;24 149,68;;107 625,00;70 874,83;60 899,85;
;Кол.;161,000;;717,500;472,500;406,000;
Обороты за Июнь 25;БУ;60 899,85;;96 000,00;104 249,89;52 649,96;
;Кол.;406,000;;640,000;695,000;351,000;
Обороты за Июль 25;БУ;52 649,96;;;52 124,96;525,00;
;Кол.;351,000;;;347,500;3,500;
Молоко цельное;БУ;2 890,72;;1 865,00;4 746,91;8,81;
;Кол.;170,500;;100,000;270,000;0,500;
Обороты за Январь 25;БУ;2 890,72;;;254,32;2 636,40;
;Кол.;170,500;;;15,000;155,500;
Обороты за Февраль 25;БУ;2 636,40;;1 865,00;;4 501,40;
;Кол.;155,500;;100,000;;255,500;
Обороты за Март 25;БУ;4 501,40;;;1 497,53;3 003,87;
;Кол.;255,500;;;85,000;170,500;
Обороты за Апрель 25;БУ;3 003,87;;;352,36;2 651,51;
;Кол.;170,500;;;20,000;150,500;
Обороты за Май 25;БУ;2 651,51;;;1 057,08;1 594,43;
;Кол.;150,500;;;60,000;90,500;
Обороты за Июнь 25;БУ;1 594,43;;;1 057,08;537,35;
;Кол.;90,500;;;60,000;30,500;
Обороты за Июль 25;БУ;537,35;;;528,54;8,81;
;Кол.;30,500;;;30,000;0,500;
Онлайн-касса;БУ;;;60 000,00;60 000,00;;
;Кол.;;;1,000;1,000;;
Обороты за Январь 25;БУ;;;60 000,00;60 000,00;;
;Кол.;;;1,000;1,000;;
Повидло фруктовое;БУ;30 047,50;;199 848,33;229 895,83;;
;Кол.;300,500;;1 998,650;2 299,150;;
Обороты за Январь 25;БУ;30 047,50;;;7 499,38;22 548,12;
;Кол.;300,500;;;75,000;225,500;
Обороты за Февраль 25;БУ;22 548,12;;19 998,33;;42 546,45;
;Кол.;225,500;;200,000;;425,500;
Обороты за Март 25;БУ;42 546,45;;26 997,75;69 514,20;30,00;
;Кол.;425,500;;270,000;695,200;0,300;
Обороты за Апрель 25;БУ;30,00;;43 861,34;21 893,17;21 998,17;
;Кол.;0,300;;438,650;218,950;220,000;
Обороты за Май 25;БУ;21 998,17;;53 495,54;47 996,00;27 497,71;
;Кол.;220,000;;535,000;480,000;275,000;
Обороты за Июнь 25;БУ;27 497,71;;55 495,37;54 745,44;28 247,64;
;Кол.;275,000;;555,000;547,500;282,500;
Обороты за Июль 25;БУ;28 247,64;;;28 247,64;;
;Кол.;282,500;;;282,500;;
Сахар;БУ;4 498,31;;127 976,68;132 224,99;250,00;
;Кол.;135,000;;3 839,300;3 966,800;7,500;
Обороты за Январь 25;БУ;4 498,31;;;3 998,50;499,81;
;Кол.;135,000;;;120,000;15,000;
Обороты за Февраль 25;БУ;499,81;;6 666,67;;7 166,48;
;Кол.;15,000;;200,000;;215,000;
Обороты за Март 25;БУ;7 166,48;;33 333,33;40 213,14;286,67;
;Кол.;215,000;;1 000,000;1 206,400;8,600;
Обороты за Апрель 25;БУ;286,67;;17 976,67;11 930,00;6 333,34;
;Кол.;8,600;;539,300;357,900;190,000;
Обороты за Май 25;БУ;6 333,34;;42 000,01;27 750,00;20 583,35;
;Кол.;190,000;;1 260,000;832,500;617,500;
Обороты за Июнь 25;БУ;20 583,35;;28 000,00;31 833,34;16 750,01;
;Кол.;617,500;;840,000;955,000;502,500;
Обороты за Июль 25;БУ;16 750,01;;;16 500,01;250,00;
;Кол.;502,500;;;495,000;7,500;
Итого;БУ;512 669,72;;1 614 304,89;2 081 799,04;45 175,57;
;Кол.;4 569,750;;13 075,950;17 371,850;273,850;
