Оборотно-сальдовая ведомость по счету 62 за 2025 г.;;;;;;
;;;;;;
Выводимые данные: БУ (данные бухгалтерского учета);;;;;;
;;;;;;
Счет;Сальдо на начало периода;;Обороты за период;;Сальдо на конец периода;
Торговый зал Магазина №23;;;854 231,50;854 231,50;;
Обороты за Январь 25;;;314 751,50;314 751,50;;
Обороты за Февраль 25;;;539 480,00;539 480,00;;
Турбаза Яхрома;396 525,00;;2 170 765,00;2 099 497,50;467 792,50;
Обороты за Январь 25;396 525,00;;595 010,00;169 245,00;822 290,00;
Обороты за Февраль 25;822 290,00;;283 250,00;583 535,00;522 005,00;
Обороты за Март 25;522 005,00;;181 630,00;230 157,50;473 477,50;
Обороты за Апрель 25;473 477,50;;81 830,00;121 187,50;434 120,00;
Обороты за Май 25;434 120,00;;319 655,00;370 562,50;383 212,50;
Обороты за Июнь 25;383 212,50;;143 975,00;97 690,00;429 497,50;
Обороты за Июль 25;429 497,50;;453 140,00;282 837,50;599 800,00;
Обороты за Август 25;599 800,00;;112 275,00;244 282,50;467 792,50;
Физическое лицо;;;799 000,00;602 000,00;197 000,00;
Обороты за Апрель 25;;;335 000,00;;335 000,00;
Обороты за Май 25;335 000,00;;146 000,00;317 500,00;163 500,00;
Обороты за Июнь 25;163 500,00;;122 500,00;110 000,00;176 000,00;
Обороты за Июль 25;176 000,00;;52 000,00;122 500,00;105 500,00;
Обороты за Август 25;105 500,00;;143 500,00;52 000,00;197 000,00;
Этнопарк Перун;86 415,00;;2 588 615,00;2 722 620,00;;47 590,00
Обороты за Январь 25;86 415,00;;420 635,00;244 820,00;262 230,00;
Обороты за Февраль 25;262 230,00;;139 560,00;444 900,00;;43 110,00
Обороты за Март 25;;43 110,00;127 450,00;269 155,00;;184 815,00
Обороты за Апрель 25;;184 815,00;86 200,00;68 980,00;;167 595,00
Обороты за Май 25;;167 595,00;544 455,00;318 766,25;58 093,75;
Обороты за Июнь 25;58 093,75;;84 495,00;329 863,75;;187 275,00
Обороты за Июль 25;;187 275,00;463 020,00;219 165,00;56 580,00;
Обороты за Август 25;56 580,00;;722 800,00;826 970,00;;47 590,00
ЯНДЕКС МАРКЕТ ООО;;;487 287,00;587 987,00;;100 700,00
Обороты за Апрель 25;;;;259 587,00;;259 587,00
Обороты за Май 25;;259 587,00;259 587,00;83 600,00;;83 600,00
Обороты за Июнь 25;;83 600,00;83 600,00;101 900,00;;101 900,00
Обороты за Июль 25;;101 900,00;101 900,00;42 200,00;;42 200,00
Обороты за Август 25;;42 200,00;42 200,00;100 700,00;;100 700,00
Итого;4 677 090,84;;54 588 664,78;54 513 928,67;4 751 826,95;
